Midland Bank, Ltd.	/ˈmɪdlənd bæŋk, ˈlɪmɪtɪd/	米兰银行(米特兰银行)
United Bank of Switzerland	/juˈnaɪtɪd bæŋk əv ˈswɪtsərlənd/	瑞士联合银行
Dresden Bank A.G.	/ˈdrɛzdən bæŋk eɪ.dʒi./	德累斯顿银行
Bank of Tokyo, Ltd.	/bæŋk əv ˈtoʊkioʊ, ˈlɪmɪtɪd/	东京银行
Hongkong and Shanghai Banking Corporation	/ˈhɒŋkɒŋ ənd ʃæŋˈhaɪ ˈbæŋkɪŋ ˌkɔːrpəˈreɪʃən/	香港汇丰银行
International Finance Corporation, IFC	/ˌɪntərˈnæʃənəl faɪˈnæns ˌkɔːrpəˈreɪʃən, aɪ-ɛf-siː/	国际金融公司
La Communaute Financieve Africane	/lɑ kɔmyˈnoʊt fɪnɑ̃ˈsjɛv æfrɪˈkæn/	非洲金融共同体
Economic and Social Council, ECOSOC	/ˌiːkəˈnɒmɪk ənd ˈsoʊʃəl ˈkaʊnsəl, ˈiːkoʊsɒk/	联合国经济及社会理事会
United Nations Development Program, UNDP	/juˈnaɪtɪd ˈneɪʃənz dɪˈvɛləpmənt ˈproʊɡræm, ju-ɛn-di-pi/	联合国开发计划署
United Nations Capital Development Fund, UNCDF	/juˈnaɪtɪd ˈneɪʃənz ˈkæpɪtəl dɪˈvɛləpmənt fʌnd, ju-ɛn-si-di-ɛf/	联合国资本开发基金
United Nations Industrial Development Organization, UNIDO	/juˈnaɪtɪd ˈneɪʃənz ɪnˈdʌstriəl dɪˈvɛləpmənt ˌɔːrɡənɪˈzeɪʃən, juˈniːdoʊ/	联合国工业发展组织
United Nations Conference on Trade and Development, UNCTAD	/juˈnaɪtɪd ˈneɪʃənz ˈkɒnfərəns ɒn treɪd ənd dɪˈvɛləpmənt, ˈʌŋktæd/	联合国贸易与发展会议
Food and Agricultural Organization, FAO	/fuːd ənd ˌæɡrɪˈkʌltʃərəl ˌɔːrɡənɪˈzeɪʃən, ɛf-eɪ-oʊ/	粮食与农业组织, 粮农组织
Economic Commission for Europe, ECE	/ˌiːkəˈnɒmɪk kəˈmɪʃən fɔːr ˈjʊərəp, i-si-i/	欧洲经济委员会
Economic Commission for Latin America, ECLA	/ˌiːkəˈnɒmɪk kəˈmɪʃən fɔːr ˈlætɪn əˈmɛrɪkə, ˈɛklə/	拉丁美洲经济委员会
Economic Commission for Asia and Far East, ECAFE	/ˌiːkəˈnɒmɪk kəˈmɪʃən fɔːr ˈeɪʒə ənd fɑːr iːst, ˈiːkæf/	亚洲及远东经济委员会
Economic Commission for Western Asia, ECWA	/ˌiːkəˈnɒmɪk kəˈmɪʃən fɔːr ˈwɛstərn ˈeɪʒə, ˈɛkwə/	西亚经济委员会
Economic Commission for Africa, ECA	/ˌiːkəˈnɒmɪk kəˈmɪʃən fɔːr ˈæfrɪkə, i-si-eɪ/	非洲经济委员会
Overseas Chinese Investment Company	/ˌoʊvərˈsiːz tʃaɪˈniːz ɪnˈvɛstmənt ˈkʌmpəni/	华侨投资公司
New York Stock Exchange, NYSE	/njuː jɔːrk stɒk ɪksˈtʃeɪndʒ, ɛn-waɪ-ɛs-iː/	纽约证券交易所
London Stock Market	/ˈlʌndən stɒk ˈmɑːrkɪt/	伦敦股票市场
Baltic Mercantile and Shipping Exchange	/ˈbɔːltɪk ˈmɜːrkəntaɪl ənd ˈʃɪpɪŋ ɪksˈtʃeɪndʒ/	波罗的海商业和航运交易所
accounting	/əˈkaʊntɪŋ/	会计
accounting cost	/əˈkaʊntɪŋ kɒst/	会计成本
accounting profit	/əˈkaʊntɪŋ ˈprɒfɪt/	会计利润
adverse selection	/ˈædvɜːrs sɪˈlɛkʃən/	逆向选择
allocation	/ˌæləˈkeɪʃən/	配置
allocation of resources	/ˌæləˈkeɪʃən əv ˈriːsɔːrsɪz/	资源配置
allocative efficiency	/ˈæləkeɪtɪv ɪˈfɪʃənsi/	配置效率
antitrust legislation	/ˌæntiˈtrʌst ˌlɛdʒɪsˈleɪʃən/	反托拉斯法
arc elasticity	/ɑːrk ˌiːlæsˈtɪsɪti/	弧弹性
Arrow's impossibility theorem	/ˈæroʊz ɪmˌpɒsɪˈbɪlɪti ˈθɪərəm/	阿罗不可能定理
assumption	/əˈsʌmpʃən/	假设
asymmetric information	/ˌeɪsɪˈmɛtrɪk ˌɪnfərˈmeɪʃən/	非对称性信息
average	/ˈævərɪdʒ/	平均
average cost	/ˈævərɪdʒ kɒst/	平均成本
average cost pricing	/ˈævərɪdʒ kɒst ˈpraɪsɪŋ/	平均成本定价法
average fixed cost	/ˈævərɪdʒ fɪkst kɒst/	平均固定成本
average product of capital	/ˈævərɪdʒ ˈprɒdʌkt əv ˈkæpɪtəl/	资本平均产量
average product of labour	/ˈævərɪdʒ ˈprɒdʌkt əv ˈleɪbər/	劳动平均产量
average revenue	/ˈævərɪdʒ ˈrɛvənjuː/	平均收益
average total cost	/ˈævərɪdʒ ˈtoʊtəl kɒst/	平均总成本
average variable cost	/ˈævərɪdʒ ˈvɛəriəbəl kɒst/	平均可变成本
barriers to entry	/ˈbæriərz tu ˈɛntri/	进入壁垒
base year	/beɪs jɪər/	基年
bilateral monopoly	/baɪˈlætərəl məˈnɒpəli/	双边垄断
benefit	/ˈbɛnɪfɪt/	收益
black market	/blæk ˈmɑːrkɪt/	黑市
bliss point	/blɪs pɔɪnt/	极乐点
boundary point	/ˈbaʊndəri pɔɪnt/	边界点
break even point	/breɪk ˈiːvən pɔɪnt/	收支相抵点
budget	/ˈbʌdʒɪt/	预算
budget constraint	/ˈbʌdʒɪt kənˈstreɪnt/	预算约束
budget line	/ˈbʌdʒɪt laɪn/	预算线
budget set	/ˈbʌdʒɪt sɛt/	预算集
capital	/ˈkæpɪtəl/	资本
capital stock	/ˈkæpɪtəl stɒk/	资本存量
capital output ratio	/ˈkæpɪtəl ˈaʊtpʊt ˈreɪʃioʊ/	资本产出比率
capitalism	/ˈkæpɪtəlɪzəm/	资本主义
cardinal utility theory	/ˈkɑːrdɪnəl juːˈtɪlɪti ˈθɪəri/	基数效用论
cartel	/kɑːrˈtɛl/	卡特尔
ceteris paribus assumption	/ˈsɛtərɪs ˈpærɪbəs əˈsʌmpʃən/	“其他条件不变”的假设
ceteris paribus demand curve	/ˈsɛtərɪs ˈpærɪbəs dɪˈmɑːnd kɜːrv/	其他因素不变的需求曲线
Chamberlin model	/ˈtʃeɪmbərlɪn ˈmɒdəl/	张伯伦模型
change in demand	/tʃeɪndʒ ɪn dɪˈmɑːnd/	需求变化
change in quantity demanded	/tʃeɪndʒ ɪn ˈkwɒntɪti dɪˈmɑːndɪd/	需求量变化
change in quantity supplied	/tʃeɪndʒ ɪn ˈkwɒntɪti səˈplaɪd/	供给量变化
change in supply	/tʃeɪndʒ ɪn səˈplaɪ/	供给变化
choice	/tʃɔɪs/	选择
closed set	/kloʊzd sɛt/	闭集
Coase theorem	/koʊs ˈθɪərəm/	科斯定理
Cobb-Douglas production function	/kɒb ˈdʌɡləs prəˈdʌkʃən ˈfʌŋkʃən/	柯布--道格拉斯生产函数
cobweb model	/ˈkɒbwɛb ˈmɒdəl/	蛛网模型
collective bargaining	/kəˈlɛktɪv ˈbɑːrɡɪnɪŋ/	集体协议工资
collusion	/kəˈluːʒən/	合谋
command economy	/kəˈmɑːnd ɪˈkɒnəmi/	指令经济
commodity	/kəˈmɒdɪti/	商品
commodity combination	/kəˈmɒdɪti ˌkɒmbɪˈneɪʃən/	商品组合
commodity market	/kəˈmɒdɪti ˈmɑːrkɪt/	商品市场
commodity space	/kəˈmɒdɪti speɪs/	商品空间
common property	/ˈkɒmən ˈprɒpərti/	公用财产
comparative static analysis	/kəmˈpærətɪv ˈstætɪk əˈnæləsɪs/	比较静态分析
compensated budget line	/ˈkɒmpənseɪtɪd ˈbʌdʒɪt laɪn/	补偿预算线
compensated demand function	/ˈkɒmpənseɪtɪd dɪˈmɑːnd ˈfʌŋkʃən/	补偿需求函数
compensation principles	/ˌkɒmpənˈseɪʃən ˈprɪnsəpəlz/	补偿原则
compensating variation in income	/ˈkɒmpənseɪtɪŋ ˌvɛəriˈeɪʃən ɪn ˈɪnkʌm/	收入补偿变量
competition	/ˌkɒmpəˈtɪʃən/	竞争
competitive market	/kəmˈpɛtɪtɪv ˈmɑːrkɪt/	竞争性市场
complement goods	/ˈkɒmplɪmənt ɡʊdz/	互补品
complete information	/kəmˈpliːt ˌɪnfərˈmeɪʃən/	完全信息
completeness	/kəmˈpliːtnəs/	完备性
condition for efficiency in exchange	/kənˈdɪʃən fɔːr ɪˈfɪʃənsi ɪn ɪksˈtʃeɪndʒ/	交换的最优条件
condition for efficiency in production	/kənˈdɪʃən fɔːr ɪˈfɪʃənsi ɪn prəˈdʌkʃən/	生产的最优条件
concave	/kɒnˈkeɪv/	凹
concave function	/kɒnˈkeɪv ˈfʌŋkʃən/	凹函数
concave preference	/kɒnˈkeɪv ˈprɛfərəns/	凹偏好
consistence	/kənˈsɪstəns/	一致性
constant cost industry	/ˈkɒnstənt kɒst ˈɪndəstri/	成本不变产业
constant returns to scale	/ˈkɒnstənt rɪˈtɜːrnz tu skeɪl/	规模报酬不变
constraints	/kənˈstreɪnts/	约束
consumer	/kənˈsuːmər/	消费者
